floor_rate,floor_agg,coupled_t_rate,coupled_t_agg
0.004542,3.848840,0.053723,45.527989
0.056843,48.172098,0.027406,23.225247
0.014879,12.609413,0.046705,39.580037
0.024645,20.885643,0.020900,17.711490
0.028580,24.220041,0.069370,58.787522
0.027827,23.582259,0.039059,33.100550
0.027965,23.699056,0.035848,35.919372
0.030686,26.004617,0.049026,41.547605
0.042642,36.136650,0.046514,39.418177
0.017733,15.027599,0.000410,0.347876
0.003130,2.652131,0.047454,40.215188
0.058563,49.629616,0.006086,5.157447
0.037901,32.118931,0.027100,22.966334
0.040247,34.107701,0.052364,44.376356
0.055842,47.323631,0.047839,40.541172
0.026893,22.790955,0.021775,18.453345
0.054003,45.765054,0.055162,46.746831
0.027874,23.622259,0.022795,19.317524
0.004765,4.038422,-0.037651,-37.725942
0.006839,5.795521,0.007592,6.433512
0.047600,40.338470,0.008707,7.378889
0.057856,49.030041,0.055130,46.720119
0.039018,33.065962,0.069935,70.074384
0.027120,22.983210,0.008945,7.580449
0.028734,24.350558,0.061328,51.972877
0.052705,44.664741,0.041616,35.267694
0.052827,44.767960,0.011810,10.008130
0.031732,26.890996,0.027309,23.143175
0.017859,15.134316,0.049542,41.984864
0.000381,0.322971,0.023716,20.097832
0.045191,38.296906,0.032313,27.383584
0.008181,6.933321,-0.008400,-7.118965
0.053009,44.922968,0.010054,8.520321
0.040606,34.411305,0.012868,10.904875
0.026794,22.706923,-0.003323,-2.816298
0.011767,9.971754,0.032449,32.514027
0.033406,28.310043,0.102195,102.398994
0.035189,29.820616,0.022882,19.391297
0.055735,47.232815,0.018250,18.286131
0.015928,13.498298,0.025022,21.204735
0.021912,18.569256,0.005026,5.035754
0.057705,48.902265,-0.001594,-1.351254
0.025358,21.489572,0.023837,20.200873
0.016693,14.146775,0.007896,6.691451
0.030199,25.592285,0.051377,43.539160
0.034604,29.325621,0.052203,44.239528
0.010431,8.840040,0.023595,19.995827
0.007260,6.152355,0.037763,32.002267
0.055846,47.326783,0.049033,41.552888
0.065254,55.299676,0.015804,13.393320
0.005899,4.998706,0.021721,18.407187
0.009111,7.720735,0.037437,31.726046
0.046526,39.428482,0.008336,7.064162
0.023562,19.967604,0.041537,35.200211
0.051988,44.057567,0.027648,23.430418
0.029089,24.651819,0.041754,35.384744
0.027717,23.488479,0.044962,38.103030
0.030482,25.832332,0.067065,56.834305
0.048593,41.180573,0.005645,4.783687
0.025281,21.424669,0.044921,38.068462
0.021251,18.009022,0.023027,19.514211
0.007563,6.409670,0.033770,28.618549
0.031113,26.366838,0.013178,11.167318
0.034421,29.170234,0.020392,17.281263
0.011418,9.676408,0.054749,46.397307
0.030789,26.092147,0.027116,22.979896
0.014044,11.901309,-0.000590,-0.499613
0.066697,56.522110,0.047936,40.623234
0.031179,26.422712,0.054222,45.950668
0.002288,1.938606,0.029173,24.722725
0.049875,42.266625,0.030577,25.912923
0.016526,14.005253,0.005497,4.658511
0.023872,20.230473,0.065899,55.846610
0.015564,13.189469,-0.001188,-1.006909
0.009274,7.859436,0.029734,25.198080
0.035457,30.047736,0.047471,40.229365
0.020340,17.237579,0.033670,28.533625
0.021910,18.567855,0.044185,37.444574
0.026371,22.348364,0.067399,57.117758
0.028973,24.553277,0.040687,34.480129
0.053762,45.560666,0.060629,51.380354
0.039353,33.349378,0.043066,36.496055
0.022984,19.477526,0.045059,38.185064
0.022493,19.061573,0.026125,22.139693
0.027931,23.670206,0.025163,21.324238
0.025665,21.750002,0.026667,22.599207
0.021736,18.420541,0.011246,9.530043
0.036270,30.737266,0.051132,43.331657
0.008637,7.319684,0.030147,30.206863
0.032431,27.483451,0.035578,30.150382
0.009961,8.441871,0.033667,28.530769
0.012139,10.286933,0.048216,40.860936
0.019916,16.878179,0.031935,27.063130
0.027331,23.161498,0.023306,19.750859
0.021167,17.938102,0.001893,1.604029
0.007687,6.514073,0.019189,16.261546
0.059121,50.102358,0.018129,18.164764
0.024886,21.089658,-0.003327,-2.819721
0.007513,6.366513,0.039350,33.347020
0.056654,48.011159,0.006083,5.154717
0.012491,10.585815,0.029356,24.877845
0.027977,23.709095,0.016510,13.991714
0.029120,24.678075,0.023517,19.929627
0.045765,38.783362,0.058886,49.903052
0.012377,10.489082,0.028668,24.294365
0.022951,19.449802,0.048480,41.084679
0.019414,16.452062,0.007699,6.524237
0.019564,16.579356,0.021499,18.219115
0.031881,27.017496,0.026543,22.493740
0.046271,39.212416,0.035241,29.864849
0.007326,6.208302,0.005068,4.295119
0.015035,12.741704,0.017975,15.232823
0.044823,37.985084,0.033239,28.168216
0.030291,25.670098,0.030307,25.684039
0.022822,19.340571,0.033882,28.713679
0.016242,13.764608,0.017075,14.469840
0.018142,15.374610,0.012457,10.556513
0.062711,53.144265,0.008191,6.941441
0.021943,18.596030,0.017024,14.426734
0.029255,24.792232,0.024787,21.005939
0.016014,13.570687,0.016789,14.228020
0.023142,19.612148,0.023928,20.278260
0.059263,50.222731,0.039821,33.746119
0.026167,22.175264,0.023206,19.666042
0.027656,23.437297,0.024850,21.058831
0.030020,25.440128,0.043708,37.040614
-0.001469,-1.244536,0.027149,23.007164
0.006853,5.807842,0.061211,51.873321
0.001165,0.987563,0.017425,14.766504
0.027754,23.520174,0.022753,19.282057
0.046870,39.719943,0.015689,13.295940
0.047012,39.840372,0.023124,19.596224
0.006697,5.674995,0.055960,47.423562
0.027767,23.531098,0.056314,56.425968
0.004552,3.857474,0.002535,2.148186
