alt_km,n_total_km3,n_payload_km3,n_rb_km3,n_debris_km3,n_starlink_km3
337,7.77954e-09,7.17981e-09,4.15409e-10,1.84322e-10,6.25627e-09
338,7.8321e-09,7.02172e-09,4.66118e-10,3.44257e-10,6.20714e-09
339,7.98008e-09,6.70589e-09,6.24795e-10,6.49387e-10,5.96022e-09
340,6.02242e-09,5.17044e-09,3.72237e-10,4.79738e-10,4.10575e-09
341,8.07194e-09,7.50399e-09,1.7032e-10,3.97628e-10,5.37397e-09
342,8.47399e-09,7.92145e-09,1.58521e-10,3.94011e-10,4.88452e-09
343,7.45729e-09,6.92764e-09,1.69933e-10,3.59718e-10,5.04757e-09
344,8.04514e-09,7.47217e-09,1.698e-10,4.03179e-10,5.89786e-09
345,8.0322e-09,7.22551e-09,3.98194e-10,4.08492e-10,6.17351e-09
346,5.74203e-09,5.02074e-09,3.15452e-10,4.05837e-10,2.97704e-09
347,8.1371e-09,7.06017e-09,3.40821e-10,7.36109e-10,3.56454e-09
348,1.11581e-08,1.01058e-08,2.94845e-10,7.57405e-10,5.60909e-09
349,1.5488e-08,1.42654e-08,5.13173e-10,7.09393e-10,1.03228e-08
350,8.22158e-08,8.11531e-08,3.71734e-10,6.90996e-10,7.81829e-08
351,8.30719e-08,8.19545e-08,3.36649e-10,7.80765e-10,7.9687e-08
352,2.28219e-08,2.18942e-08,4.6439e-10,4.63339e-10,1.93095e-08
353,9.59806e-09,8.62328e-09,5.29955e-10,4.44827e-10,6.033e-09
354,6.80748e-09,5.86112e-09,5.13824e-10,4.32541e-10,3.9174e-09
355,9.58113e-09,8.62583e-09,5.27178e-10,4.28127e-10,5.32265e-09
356,1.04176e-08,8.69281e-09,1.08575e-09,6.38998e-10,4.5953e-09
357,1.17252e-08,9.84489e-09,1.28633e-09,5.93993e-10,6.53805e-09
358,1.29231e-08,1.12134e-08,8.25182e-10,8.84555e-10,7.64884e-09
359,1.27566e-08,1.11499e-08,1.02485e-09,5.8186e-10,7.86852e-09
360,2.08405e-08,1.98469e-08,4.18425e-10,5.75135e-10,1.52182e-08
361,5.13424e-08,5.03403e-08,4.13081e-10,5.89049e-10,4.4446e-08
362,1.6548e-07,1.64449e-07,4.35903e-10,5.95122e-10,1.59022e-07
363,1.82374e-07,1.81029e-07,6.80204e-10,6.65015e-10,1.74319e-07
364,1.67352e-07,1.66007e-07,6.63462e-10,6.81436e-10,1.62967e-07
365,6.04671e-08,5.92045e-08,7.71422e-10,4.91167e-10,5.53145e-08
366,3.06965e-07,3.06046e-07,5.16882e-10,4.01607e-10,3.02497e-07
367,2.41367e-07,2.40453e-07,5.03542e-10,4.10799e-10,2.36496e-07
368,1.5566e-08,1.42476e-08,5.89265e-10,7.29136e-10,1.10868e-08
369,8.06745e-09,6.80774e-09,5.47755e-10,7.1196e-10,4.14281e-09
370,7.9123e-09,6.73817e-09,4.5561e-10,7.18519e-10,3.50868e-09
371,7.33111e-09,6.00828e-09,4.17449e-10,9.05382e-10,3.46376e-09
372,8.47501e-09,6.8897e-09,3.99119e-10,1.18619e-09,3.53636e-09
373,9.92202e-09,8.10738e-09,3.89687e-10,1.42496e-09,3.30489e-09
374,8.49911e-09,6.92423e-09,3.83564e-10,1.19132e-09,3.25815e-09
375,9.8499e-09,7.70685e-09,1.08007e-09,1.06298e-09,3.21519e-09
376,9.22101e-09,7.53262e-09,8.91149e-10,7.97239e-10,3.49038e-09
377,8.73286e-09,7.02107e-09,9.67373e-10,7.44418e-10,3.09467e-09
378,8.92995e-09,8.12111e-09,4.10515e-10,3.98326e-10,3.79607e-09
379,1.05145e-08,9.50067e-09,4.80793e-10,5.33024e-10,3.34899e-09
380,1.11339e-08,9.97758e-09,5.52175e-10,6.0419e-10,4.2152e-09
381,6.44172e-09,5.3959e-09,6.40761e-10,4.05055e-10,1.06174e-09
382,8.52811e-09,7.75882e-09,3.79583e-10,3.89713e-10,2.96197e-09
383,1.34914e-08,1.27242e-08,3.97235e-10,3.69995e-10,6.33748e-09
384,1.1438e-08,1.05463e-08,5.27521e-10,3.64218e-10,5.58053e-09
385,1.0378e-08,9.44903e-09,3.6396e-10,5.65039e-10,4.40371e-09
386,9.09053e-09,8.16934e-09,3.42033e-10,5.79159e-10,2.83928e-09
387,8.99637e-09,8.14831e-09,3.411e-10,5.06956e-10,1.60987e-09
388,9.86546e-09,8.56716e-09,3.83047e-10,9.15249e-10,1.81732e-09
