theta,k,L,Qd,n,u,M,Qeq,Qstar,Qoa,region_eq,fstar_cournot
795571.703,231858.735,1255257.21,11052.9681,6,0.448541267,7.48327076,6710.82044,7829.03853,7829.29051,1,-93903.031
5504.7273,51154.5931,1957941.49,16194.8826,3,0.587955025,10.0961488,0,0,0,0,-45992.99
1669083.6,515004.543,724171.474,26429.948,2,0.682499774,10.5688851,12181.5115,18271.8734,18272.2673,1,-576928.555
6956.29265,441570.946,520431.799,40634.5193,3,1.74691166,12.0726264,0,0,0,0,-434885.637
40160.554,216639.055,9555394.97,14212.0995,4,0.212701022,7.09327148,0,0,0,0,-177084.296
6924.09866,136815.383,1405169.72,439725.501,8,1.85310185,20.0621017,0,0,0,0,-130667.416
1827.54787,79100.0694,504789.613,17952.6111,5,4.40630162,8.27170999,0,0,0,0,-77935.4888
2832.34736,744799.674,2480769.51,373420.504,2,0.307005823,9.03273842,0,0,0,0,-742194.335
29041.7403,57660.9868,1045080.8,329819.841,7,2.39482876,1.7858481,0,0,0,0,-29365.2344
1054092.21,98911.507,2211444.18,142366.354,9,1.88276284,11.7866087,115842.686,128578.29,128714.096,2,-104874.969
1526488.88,143750.322,7673781.54,12189.4655,3,0.757088137,8.04097268,8270.14584,11025.1095,11026.8611,1,-460043.136
22290.8315,574338.159,904535.439,661550.99,7,1.46737835,4.59566593,0,0,0,0,-552442.944
7295.5303,88601.1817,6943675.76,69047.0614,2,0.424101135,6.32709474,0,0,0,0,-82183.3923
27898.0323,256844.299,1204627.9,46687.2,7,0.890591136,7.19383906,0,0,0,0,-229266.038
49817.091,760061.985,7621699.75,118744.413,10,6.91389408,29.0081417,0,0,0,0,-725951.488
69850.1277,342595.705,692597.81,24083.5672,4,1.01339404,4.22600963,0,0,0,0,-272954.779
654086.741,884091.185,5755901.55,343163.125,3,0.525986025,17.1976437,0,0,0,0,-230906.835
13181.9188,30520.0505,6149048.14,611404.766,7,0.285030329,39.1357111,0,0,0,0,-17860.5356
1417536.69,62586.467,1352604.54,468591.796,7,1.76288288,11.0111156,391174.297,446431.912,447056.339,2,-191301.028
56173.3842,49201.731,776799.213,26559.9437,10,1.20440735,3.57525884,2874.60324,3151.41204,3162.06357,1,-644.479701
108295.635,34859.3792,3071813.14,19253.0577,7,1.00080189,7.27940463,11270.4825,12858.1966,12880.5514,1,-10216.1481
136176.094,921952.344,4453530.24,25115.7552,8,4.99581862,3.94129927,0,0,0,0,-792407.853
425254.003,67808.3891,1612572.6,83865.9553,7,0.344693966,24.3658347,61641.2406,70431.6961,70447.1321,1,-50950.522
584486.021,68567.2207,7536495.33,11762.595,4,1.03760428,14.1288035,8266.37829,10327.2227,10332.9729,1,-128039.738
156087.079,111045.279,9582962.18,68154.7652,2,0.649665015,8.62154876,12512.3457,18630.6472,18768.5186,1,-21117.2129
177299.829,617557.77,2468595.65,11639.4901,2,0.433921007,1.56438463,0,0,0,0,-440577.219
12011.8961,232458.42,2171259.55,48944.6668,7,0.7381773,19.9455099,0,0,0,0,-220924.251
186652.946,173454.544,1699348.34,134659.993,9,0.857842379,14.5618123,8272.51671,9155.45148,9191.68523,1,-1362.30451
9914.27187,48102.6602,398206.29,41012.3066,2,1.36821873,15.4659806,0,0,0,0,-38350.7827
246669.572,34119.8524,2163684.68,28601.688,4,0.533601241,10.9383793,19679.861,24591.6219,24599.8263,1,-52962.9314
59245.982,836414.632,6364789.7,16729.9467,2,0.486390699,0.908456765,0,0,0,0,-778091.385
146438.638,180316.068,7592649.03,133821.095,9,0.432384558,4.93820381,0,0,0,0,-34855.9537
1813735.39,50147.1333,4653036.08,79589.7955,6,0.542952642,10.7235771,66292.5706,77324.3959,77341.3324,1,-293355.501
5107.25496,267040.31,8226148.73,139341.786,3,0.5524284,7.31119624,0,0,0,0,-263287.558
1446113.86,117632.222,1273894.63,261820.476,5,1.26543714,7.77354742,200261.95,240187.328,240314.339,2,-264757.979
1195073.94,313984.953,1466664.56,915785.537,4,0.664426455,5.24697371,539266.197,673197.685,674082.746,2,-218754.037
41089.8325,43603.3935,4279038.1,331463.166,5,4.385465,14.3570058,0,0,0,0,-8106.87605
359.04788,46086.6883,6047215.4,85150.2008,7,1.30312675,3.7108833,0,0,0,0,-48076.4596
152176.538,56085.7168,305946.028,337954.667,4,0.839391737,7.84993783,170414.669,212797.344,213018.337,2,-23879.0582
2940.0342,43398.1493,335568.815,196537.341,3,1.05719675,11.8023713,0,0,0,0,-40563.8565
62393.9591,135033.875,2224387.84,443890.207,3,0.924165537,1.85786993,0,0,0,0,-73252.6436
1521.45537,114896.604,3180702.84,583014.258,8,0.678019123,0.977904684,0,0,0,0,-114017.944
730852.429,177649.131,1410806.41,94005.7121,6,0.583535048,3.65885353,60952.2932,71095.9756,71111.0087,2,-92023.2732
2674.23838,83250.6322,485892.685,95009.8684,9,0.442874727,6.57257914,0,0,0,0,-80640.5338
547.518505,62973.9495,1547622.03,288397.565,4,2.99261342,4.26363272,0,0,0,0,-63806.8884
3679.91109,70809.6696,340340.77,41542.8074,10,1.16390444,4.21420792,0,0,0,0,-67247.8283
576285.014,168480.143,356192.845,340428.902,10,0.679956233,5.37770933,218909.26,240737.772,240800.186,2,-40657.0172
761321.775,697208.695,540403.554,35408.1753,3,0.52099949,47.9800012,2233.38964,2977.54127,2977.85286,1,-21334.1207
6713.09041,339293.121,1029410.25,923140.841,4,0.862559275,8.5815375,0,0,0,0,-332844.688
3814.66322,34928.1024,5181047.37,20720.5625,2,0.385932453,2.11894582,0,0,0,0,-31709.4255
109436.347,897047.648,512738.54,25683.1471,2,0.586820221,7.69296106,0,0,0,0,-787700.984
1484286.92,894661.433,2594228.95,30021.842,10,2.85715631,21.0203364,10798.4086,11872.3696,11878.2495,1,-58421.7694
31959.7858,48863.7324,9072347.55,11305.1056,10,1.49963983,11.9071285,0,0,0,0,-20959.1638
407204.172,274287.36,461438.992,39638.7503,2,2.58893078,0.56906583,8600.89725,12896.5782,12901.3459,2,-66206.8861
1095.64008,833332.254,442207.582,168424.788,7,3.39442096,19.3379396,0,0,0,0,-832684.017
1197932.21,110059.603,784334.276,675597.978,6,3.40158246,3.03986011,524128.005,609866.586,611482.672,2,-177827.691
720.418053,47956.9228,7826322.56,981059.934,7,1.76223228,3.99580276,0,0,0,0,-51347.3239
2283.18221,968128.451,940593.657,554565.972,3,3.38992419,12.0726264,0,0,0,0,-966795.653
792.200552,64730.0092,308377.9,21524.4458,2,0.672225076,11.7542562,0,0,0,0,-63999.5968
355.805197,379284.985,3808718.54,423181.396,3,0.522330149,12.6013132,0,0,0,0,-379522.148
328110.915,47119.5705,6219686.13,17416.4743,2,0.673734198,1.905463,9895.52678,14833.4252,14843.2902,2,-139592.291
1078502.79,282462.518,2404325.65,329715.44,3,0.420234953,39.6992219,182354.83,243003.847,243139.774,1,-264653.23
571.47165,56410.422,8290796.16,24160.8497,3,1.2765586,11.106343,0,0,0,0,-58993.5516
745.132636,30647.939,833468.764,276647.024,2,0.894299853,7.42541459,0,0,0,0,-30124.9736
11027.233,458252.734,9543030.21,36814.2522,4,0.485752395,4.17064698,0,0,0,0,-448607.185
348936.444,248908.412,9703260.22,240141.182,6,0.794571368,11.6949509,57124.333,65945.4931,66645.0552,1,-15091.5003
862566.067,34215.941,502484.826,154126.588,5,0.239478754,3.97183844,123334.019,147994.901,148000.823,2,-165623.08
13962.5874,818603.436,1021984.95,30288.742,3,1.12551204,7.53499531,0,0,0,0,-804983.697
63116.8777,928951.313,1170946.7,11586.5729,9,0.962166732,4.61402668,0,0,0,0,-866170.246
6425.83016,104544.331,9827635.16,594150.7,8,0.852401816,10.4870602,0,0,0,0,-100615.399
6425.95008,335206.826,5917908.44,932136.924,4,2.12694086,31.2161501,0,0,0,0,-332532.602
354.815597,39103.4552,4221355.36,10245.4454,8,0.873790774,18.5702432,0,0,0,0,-39848.0677
722.086615,73121.5833,6773898.72,19343.2434,5,0.208645826,1.62045385,0,0,0,0,-72820.7621
3134.98219,373485.992,1395406.97,49214.3433,6,0.131835501,10.4694793,0,0,0,0,-370405.843
4704.00778,729205.977,8686986.47,11963.0415,2,1.34923549,1.02204992,0,0,0,0,-727995.498
5775.18328,949664.966,8610582.03,913482.504,5,4.24863366,8.5241441,0,0,0,0,-954793.869
2106972.01,637613.089,510427.501,93037.1306,9,2.79890997,7.67602949,58370.6502,64848.0053,64856.278,1,-163006.601
816.446557,482247.088,1318278.35,76964.1689,9,2.42203104,118.059712,0,0,0,0,-482382.329
1558.71355,54951.0776,831181.208,59390.3016,8,1.07703262,6.76872491,0,0,0,0,-53659.1924
149092.552,148201.315,2563611.83,15216.1301,9,0.666286058,33.9901691,35.0876506,35.7289593,38.9862785,1,-6.98405552
771.094066,97198.9429,4246681.94,798624.787,8,2.57916254,1.30201845,0,0,0,0,-99692.4935
224951.507,346042.171,7562761.74,263106.321,8,1.91440811,23.5931569,0,0,0,0,-125406.078
5681.95224,119395.88,6459471.68,14273.3057,10,0.51375447,19.9595018,0,0,0,0,-114703.073
10911.71,792850.214,1670814.04,11887.4806,2,0.847557925,7.51381132,0,0,0,0,-782360.594
54294.8122,78792.4598,4318719.84,173452.53,9,0.76823632,1.62608914,0,0,0,0,-25486.5589
163972.223,221812.121,9193575.45,26533.5535,6,1.90956871,9.92874891,0,0,0,0,-63072.6151
365026.701,36808.6979,3210405.69,563521.614,7,0.832427986,9.99976311,439140.199,498256.659,501874.513,2,-44077.0329
809253.109,671936.001,7689323.39,61365.0805,3,0.372973066,7.2776021,7757.95047,10335.9854,10343.934,1,-45347.6151
421.245017,248218.25,888982.368,168981.879,2,2.13611,24.1798013,0,0,0,0,-248363.015
318719.668,47633.7197,580315.314,434445.336,3,0.727193381,5.43013556,276732.217,368598.044,368976.289,2,-89949.6992
766.96373,224282.971,637724.184,816918.324,9,0.526699845,3.46179848,0,0,0,0,-223616.124
1361739.84,626586.981,2098529.82,84391.8311,6,0.590453404,7.82072832,39026.6279,45523.5705,45531.0659,1,-122322.802
