starlink_current,all_active_current,itu_m1_increment,fcc_50pct_increment
2361.96491,1318.44424,44775.7311,97836.993
2445.12628,3233.94776,43634.2191,244491.969
1943.68576,3610.15011,14631.8075,234619.058
2230.96945,3809.13368,49727.7942,91825.8832
2584.84056,3569.68578,19090.1353,81734.7716
1873.35268,1648.2176,9075.59674,87416.4091
2586.36441,849.271053,40126.5266,86684.3673
1826.23487,2437.52142,41574.2945,206046.982
2601.76361,2565.5769,13165.4017,181743.831
2096.94261,2907.02946,9627.08942,47592.8573
2267.95287,1506.69577,28108.9609,154250.005
2188.74718,1134.92848,36374.2371,166745.384
2499.13268,1127.22201,43320.8787,46321.1831
1911.27557,3832.34219,27962.3706,82934.7037
2570.37894,3617.2897,40626.6534,52899.8003
1879.97914,1224.53474,25853.2795,137176.157
1804.97452,1221.87377,48873.4788,214773.486
1779.68978,2906.45163,13188.3122,69500.7178
2309.80352,2320.42525,30495.3229,235649.016
1901.84698,3594.79985,39532.6008,166350.349
1873.91714,2096.30635,35030.4539,109300.436
2233.21678,3525.17685,19178.4746,127874.196
2430.20797,2865.75954,10773.3386,82582.1807
2093.7436,1174.07977,16000.1351,197114.584
2044.3499,1107.23994,36716.8535,117702.726
2156.79314,1863.31946,11502.0751,44480.1955
2319.75656,1937.98774,22743.9999,154184.688
2621.76836,1093.08713,42402.3352,225457.914
2506.35493,2593.82084,33394.4455,117922.834
2091.50137,2654.11442,20071.2826,224715.94
1871.93169,1203.27865,40231.4313,233766.302
1730.93739,1983.34111,33238.5998,111814.868
2482.76219,3903.24003,25170.3833,215612.674
2214.51895,1751.99982,44150.544,53600.3143
1955.17044,3066.78634,9072.76147,195269.724
1810.74984,3666.20432,28046.3425,44277.7692
2272.96811,2512.73886,35570.5138,68520.0076
1816.07064,2390.12448,18652.7301,61275.2759
2004.72708,3001.99026,35853.9885,173851.242
1861.52173,2710.26694,36389.3892,71663.5793
2679.3928,3166.13347,11693.6807,32800.1348
2043.80017,3706.90633,28759.5808,194942.953
1920.07738,2255.72517,49625.1202,102933.406
2565.98132,1329.26574,25658.6219,143315.368
2358.20869,3352.61027,15696.9456,180296.386
2192.72803,2228.54165,23340.4429,93952.859
1819.28064,1684.13507,18723.4294,114112.659
2468.61413,1741.28614,46602.4498,57504.0324
1848.97801,3095.69019,22634.8247,249730.321
2156.92742,2646.8347,23264.6895,83850.7494
1821.41085,2456.82235,39425.0202,114502.385
2147.64309,2520.30666,25439.3658,156118.137
1962.69931,1304.93799,18883.7555,40723.0326
2426.848,2644.2846,38441.16,119686.217
2339.48605,1068.80049,47195.5217,56272.5751
1887.81851,1438.45172,6594.61377,222802.849
2302.94228,3916.77194,9608.08505,219501.413
2058.59175,1679.12013,45145.9151,205509.096
2121.08823,1657.78761,44223.1551,60137.8714
2112.94097,2371.5296,49730.9934,40228.1692
2519.2514,2810.66077,10833.2345,141977.812
2354.62742,3378.13821,37369.6959,214522.854
2394.7039,1753.18795,7437.23628,59112.5916
1794.82134,3898.04382,36164.6765,191973.241
1890.31056,1194.11188,38692.2604,199649.746
2397.30347,1987.84053,45205.1785,213782.729
2624.42247,2435.88777,40332.647,174459.589
2669.65228,1315.67781,15665.9095,160839.479
2226.60191,2404.48782,14936.6828,179961.791
1982.91654,1528.15174,19549.2951,208409.89
2298.25042,2441.69492,27369.7962,242222.598
2665.84305,2683.9139,15784.6791,43640.9814
2139.20443,1729.2955,39000.7186,193118.646
2580.49952,1114.21906,22749.8698,38842.3261
1860.29911,1770.97959,44627.2392,35702.733
1844.08494,3959.31349,8942.992,242408.222
2601.3286,2357.32448,26360.6667,135989.429
2173.03878,3253.34552,36979.0608,162067.778
2284.54169,2516.44911,30135.0763,132961.557
2258.1173,3981.57959,21186.7664,46272.7105
2147.33564,1228.86402,16450.5314,180635.314
2002.42416,4008.17804,44436.8582,143911.266
2489.06072,3970.53821,35767.235,47068.9974
1761.83162,2827.50862,29996.964,249233.314
1879.7616,3655.49668,30055.1189,210813.458
1916.55039,3111.94143,29683.1725,113269.423
2627.59615,1301.99532,39616.9431,44163.0331
1796.32015,3328.14328,8500.72157,214520.304
2316.36495,2703.35095,19261.6348,168447.171
2327.72776,4043.43749,33576.6427,38110.5765
2497.20413,1366.59737,11863.6663,135850.276
2585.36932,2433.1748,8239.33125,149791.806
1800.12246,2565.53382,31431.1226,153138.368
2455.42927,3627.68712,33589.4096,243379.216
2177.60747,2315.65407,27796.552,196555.388
1834.16368,1124.79249,35295.6277,59925.4166
2499.93482,3759.04033,42563.5697,171877.184
2537.08155,3140.49256,33682.0361,227921.384
1913.56349,1163.46967,25509.2685,84380.3058
1892.75499,1490.39019,22029.2446,95628.688
2187.23213,857.809555,32955.8825,102006.99
2077.45903,1898.86486,34352.6565,137986.351
2005.82825,2254.82855,47732.0157,214499.335
2528.23909,3925.13348,17894.2391,179358.846
2607.89846,2359.11767,9098.43946,241643.27
1763.43656,1985.12741,16732.1087,219128.426
2259.08994,1780.65104,43964.2492,183523.605
2075.44241,3368.86088,7651.88589,108394.646
2258.61616,1696.86173,30770.496,188315.684
2314.75262,1281.59768,8255.51384,165481.926
2334.69444,1751.61696,9920.52005,135003.356
1975.04744,2791.38407,34485.1423,193277.454
1786.50766,1820.27288,31243.4718,160014.653
2301.08622,2281.43758,28898.2073,219145.323
2545.00315,1621.7792,10667.7445,153966.716
2616.46377,1138.77573,12713.2589,234674.925
2034.85094,2192.90263,7131.82146,82351.6736
2598.15295,3305.57218,46416.6975,143066.015
2428.31204,2770.32459,46009.2532,143265.128
2623.08861,2912.74053,48425.4211,117623.734
2481.7775,1141.44486,42506.285,157895.491
1762.38358,3953.47035,25818.8278,126678.778
2631.84392,962.73902,12900.5204,192999.075
2138.07103,868.917779,6558.81511,62054.1059
1951.76894,2006.8425,10274.7877,173912.859
1741.18986,2551.13207,20071.4239,219725.791
2610.2475,1573.1957,42030.2273,67470.7928
1932.85121,3610.29772,49413.7292,81405.7504
1947.12304,846.748005,47066.9728,193616.38
1909.07308,4022.16137,7944.37054,67455.5527
1910.88321,2896.76638,7771.87608,56428.4407
2209.40092,1699.78342,15363.8967,94803.1566
2149.5187,1359.30305,38895.5743,78979.5889
2259.11634,1052.10364,33823.6786,50527.2008
2538.07784,2029.22248,9619.51253,130787.644
2616.41035,3758.80607,47899.7299,106466.282
2488.14853,3348.68163,33630.5382,218652.456
2269.89139,3956.51541,28820.3841,73992.515
2545.36174,3798.99271,8670.79181,214254.761
1882.58557,1982.43805,17382.2132,100146.332
1779.98189,3134.7823,7705.85286,249257.411
2125.19803,3623.7363,30961.9656,202959.74
2002.3602,3668.71822,20259.0865,172450.294
2247.27717,1495.45884,43456.7745,166424.963
1976.28222,1986.9188,30256.334,233040.489
1873.21362,1948.84965,15220.9989,90354.9659
1876.85803,2957.14205,20523.509,222930.27
1763.58311,2832.46641,17505.6493,97610.5094
1987.211,2803.78814,11478.8046,75448.6093
2159.56361,3934.77785,16061.3262,52994.2235
1948.8274,954.432039,48276.6259,147882.872
1884.99996,4035.01413,20537.3756,147906.224
1957.49828,992.608256,49763.8067,167852.037
2250.24347,1102.86003,46132.1705,146047.877
2102.35741,2295.63736,37948.7444,247835.811
2560.72075,1916.09488,34167.5521,82999.7253
2261.86545,3465.18813,22432.9877,91158.6786
2644.78243,1355.48054,9582.18738,127270.203
1721.5515,1247.39365,21580.7195,231828.946
1856.30656,1890.94548,12060.9507,48120.1028
1937.52178,1294.74134,28340.2443,103642.93
2405.92215,1804.55143,31161.4739,111169.611
2247.38447,878.428048,39789.8962,80689.0752
2656.32497,4021.08906,33676.3056,112773.975
2477.26212,1104.42137,7631.28685,75218.3672
2141.98735,2270.99639,47828.9587,233802.469
2295.90942,2972.40267,45125.2176,152778.511
2322.59637,1869.85264,22220.3307,159212.74
2203.43956,1709.67017,47025.9807,47832.4079
2478.1366,1872.85946,32231.2655,61119.0647
2152.46809,3982.01596,11904.5689,171692.245
1957.35493,3131.63741,32203.0172,227593.603
1764.273,2796.63659,19045.0086,180910.537
2291.55641,3813.97451,24124.2828,41054.8694
2039.07188,3071.40789,28939.0602,155363.752
1801.20243,3594.18528,6686.85825,91083.2781
2099.64804,2580.71015,17749.3937,229891.72
2560.25547,3507.37265,35979.5121,65701.9145
2510.3457,4013.97874,27426.0863,226338.55
2482.33365,3451.69568,16192.0478,206582.718
