rho_star_150_465,rho_star_465_495,rho_star_495_570,rho_star_570_700,rho_star_700_1000,rho_star_1000_2000
0.0865497254,0.218772349,0.722853894,0.993606749,5.15727507,2.27500762
0.012727575,0.0739165852,0.541126506,0.665638747,1.47055903,1.15627863
0.00782439326,0.0485841597,0.173898701,0.280043782,0.813388999,0.895919977
0.0392374164,0.086317946,1.15419504,0.999775365,8.79353204,10.3105095
0.106400252,0.138751509,0.414499403,0.420256197,9.6771725,1.41159742
0.0496284408,0.446436269,2.24270113,0.956915837,4.95191425,12.9839112
0.0156498395,0.0662821039,0.463692307,0.471060001,1.31211867,1.62692746
0.0321378067,0.3268037,0.406314313,0.998731597,4.57856175,3.50707973
0.0118580848,0.0782158235,0.228269041,0.11934824,1.17749624,0.746100542
0.0558400183,0.0979490925,0.650322124,0.919703633,7.83703547,5.67471198
0.0187975763,0.11001543,0.793590441,0.749700156,2.66452245,2.27373556
0.0111997329,0.0477141617,0.356104643,0.17825702,2.44047136,0.39361661
0.0465595454,0.169494465,0.931581361,0.587525335,5.2954788,4.18131393
0.0522163154,0.227294275,0.449846454,0.513259742,13.9158332,1.10104847
0.0671403202,0.172180209,2.61813615,0.543008414,7.59763375,7.17606986
0.0218874436,0.114168122,0.346400205,0.831644396,3.03887592,2.37054208
0.0492250167,0.107990034,0.362569339,0.498871883,2.03714578,1.32083401
0.109440694,0.427858185,1.69073711,1.77094315,22.6473928,1.96197904
0.0229314816,0.0446851582,0.336388034,0.42610406,4.09497362,1.89330827
0.0357983063,0.0699532151,0.461661026,0.725214179,5.05636205,2.14125592
0.0108156362,0.0824326244,0.347751279,0.562616747,3.46889492,2.57573088
0.0100494035,0.0537820673,0.164425396,0.304810968,2.13057595,0.407857966
0.00790451645,0.117780481,0.37057541,0.265045473,2.09684791,1.71970589
0.0796054085,0.129685793,0.682385852,0.930118002,9.97216245,4.35458976
0.0178015054,0.117313831,0.339591277,0.426115137,4.93676707,1.37985964
0.00490848477,0.0329567505,0.209384106,0.211716413,2.12814917,0.336372732
0.00826216968,0.0731110183,0.15611231,0.373018596,0.893889333,0.608431956
0.0305391785,0.0812855602,1.0428405,0.621467973,4.22802312,1.76041975
0.10290588,0.390249065,1.42833265,2.59725425,4.27170911,5.92817349
0.0360966001,0.132288453,0.439976978,0.444017918,1.45986583,3.57631687
0.0353555659,0.152433394,1.58055582,0.712407001,21.14211,6.23410616
0.218753152,1.12171725,2.18184128,2.28730382,20.2821966,7.64309634
0.0433387441,0.0359249517,0.181309388,0.348586033,0.746509044,0.529243548
0.0174064237,0.0342657825,0.219801718,0.205336459,1.5589369,0.955263086
0.273849645,0.978425787,3.59585909,3.57649202,32.2133291,11.9800125
0.0145814533,0.0292354871,0.189728468,0.403380468,2.04849041,1.44816857
0.0198771174,0.111015063,0.350937091,0.509142778,1.29346127,1.30783372
0.0300774838,0.126487147,0.461640208,0.27918902,1.92030721,0.952641364
0.0880359833,0.339472927,1.38628079,2.86862917,22.572749,13.5931381
0.0117821916,0.0399213243,0.214571393,0.414883639,1.20196873,1.5701661
0.21561512,0.741449771,1.31106813,2.84327083,22.9420083,5.92112113
0.0435709649,0.229506874,0.436545631,0.984943041,6.72596645,1.79231522
0.0191230318,0.14005483,0.829656896,0.742528847,3.99530678,2.40629159
0.0387501624,0.276210236,1.1639789,1.12496669,7.4103497,4.09195327
0.0279221799,0.120893987,1.01304192,0.744470458,3.25293004,2.84957842
0.119767303,1.2986813,2.60586183,5.43175969,103.848034,27.0236218
0.0794184225,0.370671487,1.09226254,3.90512635,7.43262825,2.97106604
0.035451498,0.144438493,1.04684774,0.600899101,12.3540106,5.6289843
0.0270430123,0.0433389414,0.292723938,0.365230162,3.89132205,1.44199678
0.0407990257,0.0654821675,0.399586422,0.527370094,2.18549556,2.16397689
0.0494902497,0.212470429,0.810136088,1.55718086,19.2446798,3.54047446
0.0200774473,0.127124257,0.595740867,0.508853824,1.66109051,1.6883492
0.0309524984,0.083221133,0.190302038,0.207392545,0.881325709,1.90266871
0.0242734035,0.100717624,1.28110076,0.815453715,7.62147169,2.09696754
0.0137292111,0.0622796324,0.264161562,0.421182175,0.972774833,1.95131167
0.047823432,0.122600335,0.777297049,0.921140052,4.67496914,1.32980672
0.0227125799,0.150428106,0.515164015,0.320246367,1.56185001,2.02303112
0.0679788047,0.127523629,1.2425653,1.45903673,13.8243585,5.17983337
0.443887023,1.83037059,4.63411639,2.97962414,23.7147724,23.7551945
0.0392862971,0.224636219,0.591505561,1.15077583,6.30724566,2.83088924
